instanceid,id,opmode,entityid,observedat,subproperties,unitcode,datasetid,valuetype,text,boolean,number,datetime,compound,geopoint,geomultipoint,geopolygon,geomultipolygon,geolinestring,geomultilinestring,ts
urn:ngsi-ld:attribute:instance:27138ad0-3286-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 13:00:00,f,MTS,None,Number,,,1.7,,,,,,,,,2026-04-07 13:31:58.777000
urn:ngsi-ld:attribute:instance:27138b70-3286-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 13:00:00,f,DD,None,Number,,,103,,,,,,,,,2026-04-07 13:31:58.777000
urn:ngsi-ld:attribute:instance:27138c2e-3286-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 13:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 13:31:58.777000
urn:ngsi-ld:attribute:instance:27138d14-3286-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T13:00:00+0000""}",,,,,,,2026-04-07 13:31:58.777000
urn:ngsi-ld:attribute:instance:2714c346-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 13:00:00,f,,None,Number,,,39.795551,,,,,,,,,2026-04-07 13:31:58.785000
urn:ngsi-ld:attribute:instance:2714c436-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 13:00:00,f,,None,Number,,,-0.485282,,,,,,,,,2026-04-07 13:31:58.785000
urn:ngsi-ld:attribute:instance:2714c4ea-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 13:00:00,f,CEL,None,Number,,,20.4,,,,,,,,,2026-04-07 13:31:58.785000
urn:ngsi-ld:attribute:instance:2714c594-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 13:00:00,f,P1,None,Number,,,39,,,,,,,,,2026-04-07 13:31:58.785000
urn:ngsi-ld:attribute:instance:2714c63e-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 13:00:00,f,MTS,None,Number,,,3.1,,,,,,,,,2026-04-07 13:31:58.785000
urn:ngsi-ld:attribute:instance:2714c6e8-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 13:00:00,f,DD,None,Number,,,121,,,,,,,,,2026-04-07 13:31:58.785000
urn:ngsi-ld:attribute:instance:2714c792-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 13:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 13:31:58.785000
urn:ngsi-ld:attribute:instance:2714c832-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T13:00:00+0000""}",,,,,,,2026-04-07 13:31:58.785000
urn:ngsi-ld:attribute:instance:271611f6-3286-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8486X,2026-04-07 13:00:00,f,,None,Number,,,40.362515,,,,,,,,,2026-04-07 13:31:58.794000
urn:ngsi-ld:attribute:instance:27161304-3286-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8486X,2026-04-07 13:00:00,f,,None,Number,,,-0.454339,,,,,,,,,2026-04-07 13:31:58.794000
urn:ngsi-ld:attribute:instance:271613ae-3286-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8486X,2026-04-07 13:00:00,f,CEL,None,Number,,,16.2,,,,,,,,,2026-04-07 13:31:58.794000
